0,1,2,0,11.01
0,2,3,0,111.84
0,3,4,0,59.87
0,4,5,0,7.97
0,5,6,0,38.52
0,6,7,0,10.12
0,5,8,0,5.9
0,8,9,0,3.9
0,9,10,0,40.92
0,10,11,0,56.08
0,11,12,1,21.01
0,11,14,1,17.36
0,14,15,0,65.39
0,15,16,0,18.96
0,12,13,0,77.83
0,3,17,0,88.6
0,17,18,0,57.34
0,18,19,0,7.9
0,19,20,0,41.67
0,20,21,0,12.21
0,21,22,0,221.71
0,22,23,1,8.96
0,23,24,0,137.21
0,24,25,1,12.38
0,25,26,0,201.72
0,26,27,1,14.46
0,27,28,0,237.22
0,28,29,1,11.46
0,29,30,0,280.8
0,30,31,0,5.24
0,31,32,1,13.61
0,32,33,0,8.22
0,33,34,0,14.43
0,34,53,0,91.57
0,53,54,1,18.89
0,54,55,0,48.5
0,53,35,0,8.26
0,35,36,1,13.4
0,36,37,0,180.96
0,37,38,1,21.01
0,38,39,0,3.97
0,39,40,0,106.34
0,40,41,1,6.34
0,41,42,0,59.74
0,42,43,0,10.17
0,43,44,0,23.97
0,44,45,0,6.51
0,44,46,0,17.97
0,43,47,0,31.24
0,47,48,1,9.27
0,48,49,0,66.36
0,49,50,0,7.08
0,50,51,1,20.7
0,51,52,0,65.64
0,51,56,0,47.17
0,57,57,0,0.13
0,57,58,0,19.14
0,58,59,1,17.52
0,59,60,0,762.16
0,60,61,1,13.28
0,61,62,0,15.24
0,62,63,0,97.73
